Pekka Abrahamsson;VTT Technical Research Centre; Finland 
Muhammed Ali Babar;Lero;University of Limerick; Ireland 
Anneliese Andrews;University of Denver; USA 
Lefteris Angelis;Aristotle University of Thessaloniki; Greece 
Maria Teresa Baldassarre;University of Bari; Italy 
Andrew Begel;Microsoft; USA 
Lionel Briand;Simula Research Laboratory; Norway 
Giovanni Cantone;Universita' degli Studi di Roma "Tor Vergata"; Italy 
Jeffrey Carver;University of Alabama; USA 
Michel Chaudron;Leiden University; Netherlands 
Marcus Ciolkowski;Fraunhofer IESE; Germany 
Reidar Conradi;Norwegian University of Technology & Science; Norway 
Tore Dyba;Sintef; Norway 
Sebastian Elbaum;University of Nebraska - Lincoln; USA 
Hakan Erdogmus;NRC Institute for Information Technology; Canada 
John Gaffney;Lockheed Martin; USA 
Marcela Genero;University of Castilla-La Mancha; Spain 
Tracy Hall;Brunel University; UK 
Jairus Hihn;Nasa Jet Propulsion Lab; USA 
Lorin Hochstein;USC Information Sciences Institute; USA 
Martin Host;Lund University; Sweden 
Andreas Jedlitschka;Fraunhofer IESE; Germany 
Ross Jeffery;University of New South Wales; Australia 
Philip Johnson;University of Hawaii; USA 
Magne Jorgensen;Simula Research Laboratory; Norway 
Natalia Juristo;Universidad Politecnica de Madrid; Spain 
Shinji Kusumoto;Osaka University; Japan 
Filippo Lanubile;University of Bari; Italy 
Dan Ligett;Softstar Systems; USA 
Ray Madachy;Naval Postgraduate School; USA 
Jose Carlos Maldonado;Universidade de Sao Paulo; Brazil 
Kenichi Matsumoto;Nara Institute of Science and Technology; Japan 
Michael Maximilien;IBM Research; USA 
Emilia Mendes;University of Auckland; New Zealand 
Yoshiki Mitani;IPA/Sec;NAIST; Japan 
Sandro Morasca;University degli Studi dell'Insubria; Italy 
Shuji Morisaki;Nara Institute of Science and Technology; Japan 
Maurizio Morisio;Politecnico di Torino; Italy 
Juergen Muench;Fraunhofer IESE; Germany 
Markk Muller;BOSCH; Germany 
Nachi Nagappan;Microsoft Research; USA 
Haruka Nakao;Japan Manned Space Systems Corporation; Japan 
Oscar Pastor;Universidad Politecnica Valencia 
Dietmar Pfahl;Simula Research Laboratory & University of Oslo; Norway 
Donald Reifer;Refier Consultants Inc; USA 
Brian Robinson;ABB Corporate Research; USA 
Marc Roper;University of Strathclyde; UK 
Guenther Ruhe;University of Calgary; Canada 
Sreedevi Sampath;University of Maryland;Baltimore; USA 
Carolyn Seaman;University of Maryland;Baltimore; USA 
Martin Shepperd;Brunel University; UK 
Forrest Shull;Fraunhofer Center;Maryland; USA 
Dag Sjoberg;Simula Research Laboratory; Norway 
Guilherme H. Travassos;COPPE/Federal University of Rio de Janeiro; Brazil 
Sira Vegas;Universidad Politecnica de Madrid; Spain 
Stephan Wagner;Technische Universitat Munchen; Germany 
Claes Wohlin;Blekinge Institute of Technology; Sweden
Murray Wood;University of Strathclyde; U.K. 
Bernard Wong;University of Technology Sydney; Austrialia 
Marvin Zelkowitz;Fraunhofer Center Maryland; USA 
Jiang Zheng;ABB Corporate Research; USA 
Markku Oivo;University of Oulu; Finland 