Kenichi Asai; Ochanomizu University; JP
Emilie Balland; INRIA; FR
Edwin Brady; University of St Andrews; UK
Dave Clarke; Uppsala University; SE and KU Leuven; BE
Ewen Denney; SGT / NASA; US
Sebastian Erdweg; Technische Universität Darmstadt; DE
Martin Erwig; Oregon State University; US
Alessandro Garcia; Pontifícia Universidade Católica do Rio de Janeiro; BR
Anirüddhā Gokhālé; Vanderbilt University; US
Jeff Gray; University of Alabama; US
Stefan Hanenberg; Universität Duisburg-Essen; DE
Jaakko Järvi; Texas A&M University; US
Jean-Marc Jézéquel; IRISA-University of Rennes; FR
Emerson Murphy-Hill; North Carolina State University; US
Nathaniel Nystrom; University of Lugano; CH
Bruno C. d. S. Oliveira; Hong Kong University; HK
Hridesh Rajan; Iowa State University; US
Márcio Ribeiro; Universidade Federal de Alagoas; BR
Tiark Rompf; Oracle Labs and EPFL; CH
Grigore Rosu; University of Illinois at Urbana-Champaign; US
Norbert Siegmund; Universität Passau; DE
Christian Skalka; University of Vermont; US
Scott Smith; Johns Hopkins University; US
Éric Tanter; Universidad de Chile; CL
Emina Torlak; University of California Berkeley; US
Laurence Tratt; King's College; UK