Dalal Alrajeh; Imperial College London; UK
Thomas Alspaugh; Georgetown University; USA
Daniel Amyot; University of Ottawa; Canada
João Araújo; Universidade Nova de Lisboa; Portugal
Nelly Bencomo; Aston University; UK
Dan Berry; University of Waterloo; Canada
Carl Chang; Iowa State University; USA
Daniela Damian; University of Victoria; Canada
Letícia Duboc; Universidade do Estado do Rio de Janeiro; Brazil
Steve Fickas; University of Oregon; USA
Robert France; Colorado State University; USA
Vincenzo Gervasi; Università di Pisa; Italy
Carlo Ghezzi; Politecnico di Milano; Italy
Martin Glinz; Universität Zürich; Switzerland
Olly Gotel; Independent Researcher; USA
Sol Greenspan; National Science Foundation; USA
Paul Grünbacher; Johannes Kepler Universität Linz; Austria
Robert Hall; AT&T Labs Research; USA
Seok-Won Lee; Ajou University; Republic of Korea
Julio Leite; Pontíficia Universidade Católica do Rio De Janeiro; Brazil
Soo Ling Lim; University College London and Bournemouth University; UK
Lin Liu; Tsinghua University; China
Walid Maalej; Universität Hamburg; Germany
Patrick Mäder; Technische Universität Ilmenau; Germany
Neil Maiden; City University London; UK
Nancy Mead; Software Engineering Institute; CMU; USA
Ana Moreira; Universidade Nova de Lisboa; Portugal
Gunter Mussbacher; McGill University; Canada
Barbara Paech; Universität Heidelberg; Germany
Liliana Pasquale; Lero; the Irish Software Engineering Research Centre; Ireland
Óscar Pastor López; Universitat Politècnica de València; Spain
Klaus Pohl; Universität Duisburg-Essen; Germany
Björn Regnell; Lunds Universitet; Sweden
Roshanak Roshandel; Seattle University; USA
Julia Rubin; IBM Research - Haifa; Israel
Mehrdad Sabetzadeh; Université de Luxembourg; Luxembourg
Motoshi Saeki; Tokyo Institute of Technology; Japan
Pete Sawyer; Lancaster University; UK
Kurt Schneider; Leibniz Universität Hannover; Germany
Alistair Sutcliffe; University of Manchester; UK
Thein Than Tun; The Open University; UK
Jon Whittle; Lancaster University; UK
Roel Wieringa; Universiteit Twente; Netherlands
Andrea Zisman; The Open University; UK