Ahmed E. Hassan; School of Computing; Queen's University;  Canada 
Andreas Jedlitschka; Fraunhofer IESE;  Germany
Andreas Zeller; Saarland University;  Germany
Andrew Begel; Microsoft;  USA
Audris Mockus; Avaya Labs Research;  USA
Ayse Bener; Bogazici University;  Turkey
Brian Robinson; ABB Corporate Research;  USA
Carolyn Seaman; University of Maryland; Baltimore;  USA
Christof Ebert; Vector;  Germany
Claes Wohlin; Blekinge Institute of Technology;  Sweden
Davide Falessi; Simula Research Laboratory & University of Rome Tor Vergata;  Italy
Dietmar Pfahl; Simula Research Laboratory & University of Oslo;  Norway
Emilia Mendes; University of Auckland;  New Zealand
Filippo Lanubile; University of Bari;  Italy
Filippo Ricca; Universita' di Genova;  Italy
Forrest Shull; Fraunhofer Center; Maryland;  USA
Gerardo Canfora; University of Sannio;  Italy
Guilherme Travassos; COPPE/Federal University of Rio de Janeiro;  Brazil
Hakan Erdogmus; Kalemun Research Inc.;  Canada
Harald Gall; University of Zurich;  Switzerland
Harvey Siy; Lucent Technologies;  USA
Iannis Stamelos; Aristotle University of Thessaloniki;  Greece
James Miller; University of Alberta;  Canada
Jeffrey Carver; University of Alabama;  USA
Laurie Williams; North Carolina State University;  USA
Lionel Briand; Simula Research Laboratory;  Norway
Lorin Hochstein; USC Information Sciences Institute;  USA
Marcela Genero; University of Castilla-La Mancha;  Spain
Marco Torchiano; Politecnico di Torino;  Italy
Marcus Ciolkowski; Fraunhofer IESE;  Germany
Martin Höst; Lund University;  Sweden
Martin Pinzger; University of Zurich;  Switzerland
Martin Shepperd; Brunel University;  UK
Massimiliano Di Penta; University of Sannio;  Italy
Natalia Juristo; Universidad Politecnica de Madrid;  Spain
Miryung Kim; University of Texas;  USA
Muhammad Ali Babar; ITU Copenhagen;  Denmark
Murray Wood; University of Strathclyde;  U.K.
Oscar Pastor Lopez; Universidad Politecnica de Valencia;  Spain
Paul Gruenbacher; University of Linz;  Austria
Per Runeson; University of Lund;  Sweden
Philip Johnson; University of Hawaii;  USA
Rahul Premraj; VU University; Amsterdam;  The Netherlands
Reidar Conradi; Norwegian University of Technology & Science;  Norway
Ross Jeffery; University of New South Wales;  Australia
Sandro Morasca; Universita' degli Studi dell'Insubria;  Italy
Shuji Morisaki; Nara Institute of Science and Technology;  Japan
Sira Vegas; Universidad Politecnica de Madrid;  Spain
Sreedevi Sampath; University of Maryland; Baltimore;  USA
Stefan Biffl; Vienna University of Technology;  Austria
Stefan Wagner; Technical Universitaet Muenchen;  Germany
Sung Kim; Massachusetts Institute of Technology;  USA
Teresa Baldassarre; University of Bari;  Italy
Thomas Zimmermann; Microsoft Research;  USA
Tim Menzies; West Virginia University;  USA
Tore Dybå; Sintef;  Norway