Stefania Gnesi; ISTI-CNR; Italy
Arend Rensink; University of Twente; the Netherlands
Marsha Chechik; University of Toronto; Canada
Myra Cohen; University of Nebraska-Lincoln; USA
Vittorio Cortellessa; Università dell'Aquila; Italy
Kzysztof Czarnecki; University of Waterloo; Canada
Juan de Lara; Universidad Autonoma Madrid; Spain
Ewen Denney; NASA; USA
Jürgen Dingel; Queen's University; Canada
José Luiz Fiadeiro; Royal Holloway; University of London;UK
Dimitra Giannakopoulou; CMU/NASA Ames; USA
Holger Giese; Universität Potsdam; Germany
Reiko Heckel; University of Leicester; UK
John Hosking; Australian National University; Australia
Jochen Küster; IBM; Switzerland
Ralf Lämmel; University of Koblenz; Germany
Yves Le Traon; University of Luxembourg; Luxembourg
Antonia Lopes; University of Lisbon; Portugal
Mieke Massink; ISTI-CNR; Italy
Richard Paige; University of York; UK
Rosario Pugliese; University of Florence; Italy
Bernhard Rumpe; RWTH Aachen University; Germany
Alessandra Russo; Imperial College London; UK
Ina Schäfer; TU Braunschweig; Germany
Andy Schürr; TU Darmstadt; Germany
Gabriele Taentzer; Philipps-Universität Marburg; Germany
Nancy Day; University of Waterloo; Canada
Dániel Varró; Budapest Univ. of Tech. and Economics; Hungary
Eelco Visser; University of Delft; the Netherlands
Martin Wirsing; Ludwig-Maximilians-Univ; München; Germany