Andrea Arcuri; Simula Research Laboratory; Norway
André Baresel; Q-viTECH; Germany
John Clark; University of York; UK
Massimiliano Di Penta; University of Sannio; Italy
Walter Gutjahr; University of Vienna; Austria
Mark Harman; Kings College; UK
AbdulSalam Kalaji; Brunel University; UK
Gregory Kapfhammer; Allegheny College; USA
Bogdan Korel; Illinois Institute of Technology; USA
Phil McMinn; University of Sheffield; UK
Ramón Sagarna; University of Birmingham; UK
Richard Torkar; Blekinge Institute of Technology; Sweden
Shin Yoo; Kings College; UK
Tanja Vos; Universidad Politécnica de Valencia; Spain