Jo Atlee; University of Waterloo; Canada
George Avrunin; University of Massachusetts; USA
Antonia Bertolino; ISTI-CNR; Italy
Dave Binkley; Loyola College; USA
Víctor Braberman; Universidad de Buenos Aires; Argentina
Sung-Deok; Steve Cha; Korea Advanced Institute of Science and Technology; Korea
S.C. Cheung; The Hong Kong University of Science and Technology; Hong Kong
Giovanni Denaro; Università degli Studi di Milano Bicocca; Italy
Matt Dwyer; University of Nebraska; USA
Michael Ernst; Massachusetts Institute of Technology; USA
Phyllis Frankl; Polytechnic University; USA
Mary Jean Harrold; Georgia Institute of Technology; USA
Mark Harman; King's College London; UK
Donglin Liang; University of Minnesota; USA
Henry Muccini; Università degli Studi dell'Aquila; Italy
Alessandro Orso; Georgia Institute of Technology; USA
Gregg Rothermel; University of Nebraska; USA
Atanas Rountev; Ohio State University; USA
Andreas Zeller; Universität des Saarlandes; Germany
Elaine Weyuker; AT&T Labs Research; USA
Tom Ostrand; AT&T Labs Research; USA
Mauro Pezzè; Università degli Studi di Milano Bicocca; Italy
Lori Pollock; University of Delaware; USA
Alexander Pretschner; ETH; Switzerland
Willem Visser; NASA Ames Research Center; USA
Yaron Wolfsthal; IBM Haifa Research Lab; Israel
George Avrunin; University of Massachusetts; ISSTA Steering Committee chair
Phyllis Frankl; Polytechnic University Phyllis Frankl; ISSTA 2002 Program Chair
Gregg Rothermel; University of Nebraska; ISSTA 2004 Program chair
Lori Pollock; University of Delaware; ISSTA 2006 General Chair
Mauro Pezzè; Università degli Studi di Milano Bicocca; ISSTA 2006 Program chair