Adams Bram; École Polytechnique de Montréal; Canada
Anderson Paul; GrammaTech Inc.; USA
Barr Earl; University College London; UK
Bavota Gabriele; Free University of Bozen-Bolzano; Italy
Binkley Dave; Loyola University Maryland; USA
Cerulo Luigi; University of Sannio; Italy
Falleri Jean-Rémy; Bordeaux INP; France
Ferenc Rudolf; University of Szeged; Hungary
Guéhéneuc Yann-Gaël; École Polytechnique de Montréal; Canada
Guerrouj Latifa; Concordia University; Canada
Haiduc Sonia; Florida State University; USA
Hao Dan; Peking University; China
Harman Mark; University College London; UK
Hindle Abram; University of Alberta; Canada
Ihara Akinori; Nara Institute of Science and Technology; Japan
Inoue Katsuro; Osaka University; Japan
Jiang Lingxiao; Singapore Management University; Singapore
Jiang Zhen Ming; York University; UK
Kamei Yasutaka; Kyushu University; Japan
Kim Sunghun; The University of Hong Kong Science and Technology; Hong Kong
Komondoor Raghavan; Indian Institute of Science; India
Krinke Jens; University College London; UK
Laemmel Ralf; Universität Koblenz-Landau; Germany
Lawrie Dawn; Loyola University Maryland; USA
Li Zheng; Beijing University of Chemical Technology; China
Lucia; Interdisciplinary Centre for Security; Reliability and Trust; Luxembourg
Mayer Philip; Ludwig-Maximilians-Universität München; Germany
Moha Naouel; Université du Québec à Montréal; Canada
Oliveto Rocco; University of Molise; Italy
Poshyvanyk Denys; College of William and Mary; USA
Rilling Juergen; Concordia University; Canada
Robbes Romain; University of Chile; Chile
Roy Chanchal K.; University of Saskatchewan; Canada
Serebrenik Alexander; Eindhoven University of Technology; Netherlands
Shepherd David; ABB Inc; USA
Shihab Emad; Concordia University; Canada
Thummalapenta Suresh; IBM Research; India
Xia Xin; Zhejiang University; China
Zaytsev Vadim; University of Amsterdam; The Netherlands
Zimmermann Thomas; Microsoft Research; USA
Zou Ying; Queen's University; Canada
Olga	Baysal; Université de Montréal; Canada
Csaba Nagy; University of Szeged; Hungary
Martin Brandtner; University of Zurich; Switzerland
Daan	Vanberkel; InfoSupport; Netherlands
Fabian Beck; University of Stuttgart; Germany
Louis Wasserman; Google Inc.; USA
Moritz Beller; Delft University of Technology; Netherlands
Raphael Pham; Leibniz Universität Hannover; Germany
Coen	De Roover; Osaka University; Japan
Veronika Bauer; Technische Universität München; Germany